constituency,const_no,leading_candidate,leading_party,trailing_candidate,trailing_party,margin,round,status,rounds completed,total rounds
BELEGHATA,164,KUNAL KUMAR GHOSH,All India Trinamool Congress,PARTHA CHAUDHURY,Bharatiya Janata Party,28576,23/23,Result Declared,23,23
JORASANKO,165,VIJAY OJHA,Bharatiya Janata Party,VIJAY UPADHYAY,All India Trinamool Congress,5797,22/22,Result Declared,22,22
SHYAMPUKUR,166,PURNIMA CHAKRABORTY,Bharatiya Janata Party,SHASHI PANJA,All India Trinamool Congress,14633,21/21,Result Declared,21,21
MANIKTALA,167,TAPAS ROY,Bharatiya Janata Party,SHRREYA PANDE,All India Trinamool Congress,15644,20/20,Result Declared,20,20
KASHIPUR-BELGACHHIA,168,RITESH TIWARI,Bharatiya Janata Party,ATIN GHOSH,All India Trinamool Congress,1651,21/21,Result Declared,21,21
BALLY,169,SANJAY KUMAR SINGH,Bharatiya Janata Party,KAILASH KUMAR MISHRA,All India Trinamool Congress,11997,15/15,Result Declared,15,15
HOWRAH UTTAR,170,UMESH RAI,Bharatiya Janata Party,GAUTAM CHOWDHURY,All India Trinamool Congress,11250,18/18,Result Declared,18,18
HOWRAH MADHYA,171,ARUP ROY,All India Trinamool Congress,BIPLAB KUMAR MANDAL,Bharatiya Janata Party,16083,17/17,Result Declared,17,17
SHIBPUR,172,RUDRANIL GHOSH,Bharatiya Janata Party,DR. RANA CHATTERJEE,All India Trinamool Congress,16058,20/20,Result Declared,20,20
HOWRAH DAKSHIN,173,NANDITA CHOWDHURY,All India Trinamool Congress,SHYAMAL KUMAR HATI,Bharatiya Janata Party,7828,22/22,Result Declared,22,22
SANKRAIL,174,PRIYA PAUL,All India Trinamool Congress,BARNALI DHALI NASKAR,Bharatiya Janata Party,16740,22/22,Result Declared,22,22
PANCHLA,175,GULSAN MULLICK,All India Trinamool Congress,RANJAN PAUL,Bharatiya Janata Party,38320,18/18,Result Declared,18,18
ULUBERIA PURBA,176,RITABRATA BANERJEE,All India Trinamool Congress,RUDRA PROSAD BANERJEE,Bharatiya Janata Party,11838,16/16,Result Declared,16,16
ULUBERIA UTTAR,177,CHIRAN BERA,Bharatiya Janata Party,BIMAL KUMAR DAS,All India Trinamool Congress,4177,21/21,Result Declared,21,21
ULUBERIA DAKSHIN,178,PULAK ROY,All India Trinamool Congress,SWAMI MANGALANANDA PURI,Bharatiya Janata Party,17187,19/19,Result Declared,19,19
SHYAMPUR,179,DR. HIRANMOY CHATTOPADHYAYA (HIRAAN),Bharatiya Janata Party,NADEBASI JANA,All India Trinamool Congress,22260,18/18,Result Declared,18,18
BAGNAN,180,ARUNAVA SEN,All India Trinamool Congress,PRAMANSHU RANA,Bharatiya Janata Party,11316,20/20,Result Declared,20,20
AMTA,181,AMIT SAMANTA,Bharatiya Janata Party,SUKANTA KUMAR PAUL,All India Trinamool Congress,4454,20/20,Result Declared,20,20
UDAYNARAYANPUR,182,SAMIR KUMAR PANJA,All India Trinamool Congress,PROBHAKAR PANDIT,Bharatiya Janata Party,12227,16/16,Result Declared,16,16
